,Metric,English,Comments
"Tensile Strength, Ultimate ",880 MPa,128000 psi,
Elongation at Break ,25 %,25 %,
Charpy Impact ,30.0 J,22.1 ft-lb,
"Carbon, C ",0.030 %,0.030 %,
"Manganese, Mn ",1.5 %,1.5 %,
"Nickel, Ni ",8.3 %,8.3 %,
"Phosphorous, P ",<= 0.0300 %,<= 0.0300 %,
"Sulfur, S ",<= 0.0250 %,<= 0.0250 %,
"Tensile Strength, Yield ","740 MPa
@Strain 0.200 %","107000 psi
@Strain 0.200 %",
Reduction of Area ,40 %,40 %,
"Chromium, Cr ",29 %,29 %,
"Molybdenum, Mo ",2.4 %,2.4 %,
"Nitrogen, N ",0.28 %,0.28 %,
"Silicon, Si ",0.50 %,0.50 %,
