,Metric,English,Comments
"Tensile Strength, Ultimate ",648 MPa,94000 psi,
Elongation at Break ,14 %,14 %,
"Carbon, C ",<= 0.0800 %,<= 0.0800 %,
"Manganese, Mn ",2.4 %,2.4 %,
"Silicon, Si ",0.30 %,0.30 %,
"Tensile Strength, Yield ","524 MPa
@Strain 0.200 %","76000 psi
@Strain 0.200 %",
"Chromium, Cr ",12 %,12 %,
"Nickel, Ni ",64 %,64 %,
