,Metric,English,Comments
"Hardness, Brinell ",420 - 465,420 - 465,
"Tensile Strength, Yield ",1250 MPa,181000 psi,
"Boron, B ",0.0040 %,0.0040 %,
"Chromium, Cr ",1.6 %,1.6 %,
"Manganese, Mn ",1.0 %,1.0 %,
"Nickel, Ni ",3.5 %,3.5 %,
"Silicon, Si ",0.35 %,0.35 %,
Tensile Strength ,1450 MPa,210000 psi,
Elongation at Break ,11.5 %,11.5 %,2[in]
"Carbon, C ",0.25 %,0.25 %,
"Iron, Fe ",92.916 %,92.916 %,
"Molybdenum, Mo ",0.35 %,0.35 %,
"Phosphorous, P ",0.30 %,0.30 %,
