20 0.99998382
30 0.99996068
40 0.99996349
50 0.9998022
60 0.99957569
70 0.99870882
80 0.99648476
90 0.99788851
100 0.9971354
110 0.99450606
120 0.99604538
130 0.9938163
140 0.99519603
150 0.9942594
160 0.99434398
170 0.99544592
180 0.99391165
190 0.99208556
200 0.99375391
210 0.99242632
220 0.99226096
230 0.99174315
240 0.99302621
250 0.99179261
260 0.99301955
270 0.99286424
280 0.98864092
290 0.98930204
300 0.98874789
310 0.98934094
320 0.99003808
330 0.98915436
340 0.99014683
350 0.98919161
360 0.98915371
370 0.98813341
380 0.98901258
390 0.98509699
400 0.98749441
410 0.98619312
420 0.98554864
430 0.98690425
440 0.98658789
450 0.9868024
460 0.98845418
470 0.9876515
480 0.98917111

20 -0.023631004
30 0.019926306
40 0.21897365
50 0.31178468
60 0.32749857
70 0.3996208
80 0.43377581
90 0.49400497
100 0.47261243
110 0.54506085
120 0.5342896
130 0.48880417
140 0.59528331
150 0.51950338
160 0.5564105
170 0.50983138
180 0.56881118
190 0.56447919
200 0.55870526
210 0.539446
220 0.58115912
230 0.57915326
240 0.58465158
250 0.59262994
260 0.59713756
270 0.59863628
280 0.61154209
290 0.62338174
300 0.61839256
310 0.60946712
320 0.7534924
330 0.76604812
340 0.76999469
350 0.76862323
360 0.76195865
370 0.75521442
380 0.78805451
390 0.81296195
400 0.81554923
410 0.81239029
420 0.81500037
430 0.82165391
440 0.81856592
450 0.8333585
460 0.83255414
470 0.83940543
480 0.83401532

