,Metric,English,Comments
"Carbon, C",0.070 %,0.070 %,
"Manganese, Mn",1.3 %,1.3 %,
"Nitrogen, N ",0.040 %,0.040 %,
"Chromium, Cr",28 %,28 %,
"Nickel, Ni",35 %,35 %,
"Silicon, Si",0.70 %,0.70 %,
