,Metric,English,Comments
"Hardness, Brinell ",200,200,
"Tensile Strength, Yield ","440 MPa @Strain 0.200 %","63800 psi @Strain 0.200 %",
Charpy Impact  ,"60.0 J @Temperature -20.0 C","44.3 ft-lb @Temperature -4.00 F",
 ,"75.0 J @Temperature 20.0 C","55.3 ft-lb @Temperature 68.0 F",
"Carbon, C ",0.025 %,0.025 %,
"Manganese, Mn ",0.75 %,0.75 %,
"Silicon, Si ",0.95 %,0.95 %,
"Tensile Strength, Ultimate ",600 MPa,87000 psi,
Elongation at Break ,40 %,40 %,
"Chromium, Cr ",19 %,19 %,
"Nickel, Ni ",9.5 %,9.5 %,
