,Metric,English,Comments
"Carbon, C",0.050 %,0.050 %,
"Manganese, Mn",1.8 %,1.8 %,
"Silicon, Si",0.40 %,0.40 %,
"Chromium, Cr",19.8 %,19.8 %,
"Nickel, Ni",9.2 %,9.2 %,
