,Metric,English,Comments
"Carbon, C",<= 0.0300 %,<= 0.0300 %,
"Manganese, Mn",2.0 %,2.0 %,
"Silicon, Si",1.5 %,1.5 %,
"Chromium, Cr",1.5 %,1.5 %,
"Nickel, Ni",94.7 %,94.7 %,
