,Metric,English,Comments
Density ,7.90 g/cc,0.285 lb/in,
"Hardness, Vickers ",180,180,
"Tensile Strength, Yield ","400 MPa @Strain 0.200 %","58000 psi @Strain 0.200 %",
Reduction of Area ,60 %,60 %,
"CTE, linear ","18.0 m/m-C @Temperature 20.0 - 400 C","10.0 in/in-F @Temperature 68.0 - 752 F",
"Carbon, C ",<= 0.0250 %,<= 0.0250 %,Filler metal
 ,<= 0.0250 %,<= 0.0250 %,All-weld metal
"Manganese, Mn ",1.5 %,1.5 %,Filler metal
 ,1.6 %,1.6 %,All-weld metal
"Nickel, Ni ",15 %,15 %,Filler metal
 ,15 %,15 %,All-weld metal
"Silicon, Si ",0.40 %,0.40 %,Filler metal
 ,0.40 %,0.40 %,All-weld metal
"Tensile Strength, Ultimate ",600 MPa,87000 psi,
Elongation at Break ,40 %,40 %,
Charpy Impact ,140 J,103 ft-lb,
Thermal Conductivity  ,"14.0 W/m-K @Temperature 20.0 C","97.2 BTU-in/hr-ft-F @Temperature 68.0 F",
 ,"15.0 W/m-K @Temperature 100 C","104 BTU-in/hr-ft-F @Temperature 212 F",
 ,"17.0 W/m-K @Temperature 300 C","118 BTU-in/hr-ft-F @Temperature 572 F",
 ,"18.0 W/m-K @Temperature 500 C","125 BTU-in/hr-ft-F @Temperature 932 F",
"Chromium, Cr ",21.5 %,21.5 %,Filler metal
 ,21.5 %,21.5 %,All-weld metal
"Molybdenum, Mo ",2.7 %,2.7 %,Filler metal
 ,2.7 %,2.7 %,All-weld metal
"Phosphorous, P ",<= 0.0250 %,<= 0.0250 %,Filler metal
 ,<= 0.0250 %,<= 0.0250 %,All-weld metal
"Sulfur, S ",<= 0.0150 %,<= 0.0150 %,Filler metal
 ,<= 0.0150 %,<= 0.0150 %,All-weld metal
