,Metric,English,Comments
"Hardness, Vickers",250,250,
"Tensile Strength, Yield","500 MPa @Strain 0.200 %","72500 psi @Strain 0.200 %",
Reduction of Area,45 %,45 %,
"Carbon, C",0.0080 %,0.0080 %,All-weld metal
 ,<= 0.0150 %,<= 0.0150 %,Filler metal
"Cobalt, Co ",<= 2.50 %,<= 2.50 %,Filler metal
"Manganese, Mn",0.10 %,0.10 %,All-weld metal
 ,<= 0.500 %,<= 0.500 %,Filler metal
"Nickel, Ni",56 %,56 %,Filler metal
 ,57.5 %,57.5 %,All-weld metal
"Silicon, Si",0.050 %,0.050 %,All-weld metal
 ,<= 0.0800 %,<= 0.0800 %,Filler metal
"Tungsten, W ",3.0 %,3.0 %,Filler metal
 ,3.0 %,3.0 %,All-weld metal
"Tensile Strength, Ultimate",780 MPa,113000 psi,
Elongation at Break,40 %,40 %,
Charpy Impact,"80.0 J @Temperature -196 C","59.0 ft-lb @Temperature -321 F",
 ,"110 J @Temperature 20.0 C","81.1 ft-lb @Temperature 68.0 F",
"Chromium, Cr",21.5 %,21.5 %,Filler metal
 ,22 %,22 %,All-weld metal
"Iron, Fe",3.0 %,3.0 %,All-weld metal
 ,4.0 %,4.0 %,Filler metal
"Molybdenum, Mo",13.5 %,13.5 %,Filler metal
 ,14 %,14 %,All-weld metal
"Phosphorous, P",<= 0.0200 %,<= 0.0200 %,Filler metal
"Sulfur, S",<= 0.0100 %,<= 0.0100 %,Filler metal
"Vanadium, V",<= 0.350 %,<= 0.350 %,Filler metal
