Iron, Fe;Carbon, C;Sulfur, S;Silicon, Si;Phosphorous, P;Manganese, Mn;Chromium, Cr;Nickel, Ni;Molybdenum, Mo;Copper, Cu;Density;Hardness, Vickers;Thermal Conductivity;Specific Heat Capacity;CTE, linear;Electrical Resistivity;Elongation at Break;Bulk Modulus;Modulus of Elasticity;Shear Modulus;Poissons Ratio;Tensile Strength, Yield;Tensile Strength, Ultimate
96.54 - 97.67 %;0.48 - 0.53 %;<= 0.045 %;0.15 - 0.30 %;<= 0.035 %;0.75 - 1.0 %;0.40 - 0.60 %;0.40 - 0.70 %;0.15 - 0.25 %;0%;7.85 g/cc;301;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;15 %;160 GPa;205 GPa;80.0 GPa;0.29;640 MPa;958 MPa
97 %;0.12 - 0.21 %;0.040 %;0.20 - 0.35 %;0.035 %;0.95 - 1.3 %;0.40 - 0.65 %;0.30 - 0.70 %;0.20 - 0.30 %;0%;7.80 g/cc;NA;NA;NA;NA;NA;18 %;160 GPa;NA;80.0 GPa;NA;690 MPa @Strain 0.200 %;760 - 895 MPa
0%;0.020 %;0.011 %;0.80 %;0.010 %;1.6 %;20 %;10.5 %;<= 0.300 %;0%;7.90 g/cc;160;15.0 W/m-K @Temperature 20.0 C;NA;18.0 m/m-C @Temperature 20.0 - 400 C;NA;24 % @Temperature 400 C;NA;NA;NA;NA;290 MPa @Strain 0.200 %, Temperature 400 C;440 MPa @Temperature 400 C
4.5 %;<= 0.0100 %;<= 0.0150 %;<= 0.0800 %;<= 0.0300 %;<= 1.00 %;16 %;57 %;16 %;0%;8.89 g/cc;NA;7.20 W/m-K @Temperature -168 °C;0.427 J/g-°C;12.2 µm/m-°C @Temperature 25.0 - 100 °C;NA;>= 40.0 %;NA;159 GPa @Temperature 800 °C;NA;NA;>= 283 MPa @Strain 0.200 %;>= 690 MPa
96.745 - 98.22 %;0.18 - 0.23 %;<= 0.040 %;0.15 - 0.35 %;<= 0.035 %;0.60 - 0.95 %;0.35 - 0.65 %;0.35 - 0.75 %;0.15 - 0.25 %;0%;7.85 g/cc;284;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;20 %;160 GPa;205 GPa;80.0 GPa;0.29;572 MPa;917 MPa
96.595 - 97.72 %;0.38 - 0.43 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.75 - 1.0 %;0.40 - 0.60 %;0.40 - 0.70 %;0.20 - 0.30 %;0%;7.85 g/cc;301;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;20 %;160 GPa;205 GPa;80.0 GPa;0.29;848 MPa;952 MPa
97.41 %;0.20 - 0.24 %;0%;0.15 - 0.35 %;0%;0.60 - 0.85 %;0.90 - 1.2 %;<= 0.25 %;0.15 - 0.30 %;0%;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
95.855 - 96.98 %;0.17 - 0.22 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.45 - 0.65 %;0.40 - 0.60 %;1.65 - 2.0 %;0.20 - 0.30 %;0%;7.85 g/cc;261;44.5 W/m-K;0.475 J/g-°C;11.3 µm/m-°C @Temperature -18.0 - 95.0 °C;0.0000245 ohm-cm;24 %;160 GPa;205 GPa;80.0 GPa;0.29;515 MPa;827 MPa
93.67 - 95.35 %;0.070 - 0.13 %;<= 0.050 %;0.15 - 0.30 %;0%;0.40 - 0.70 %;1.0 - 1.45 %;2.95 - 3.55 %;0.080 - 0.15 %;0%;7.85 g/cc;319;51.9 W/m-K;0.472 J/g-°C;11.5 µm/m-°C @Temperature 20.0 °C;0.0000174 ohm-cm;15.5 %;160 GPa;200 GPa;80.0 GPa;0.29;814 MPa;1000 MPa
93.77 - 95.19 %;0.080 - 0.13 %;<= 0.025 %;0.20 - 0.35 %;<= 0.025 %;0.45 - 0.65 %;1.0 - 1.4 %;3.0 - 3.5 %;0.080 - 0.15 %;0%;7.85 g/cc;384;51.9 W/m-K;0.472 J/g-°C;11.5 µm/m-°C @Temperature 20.0 °C;0.0000174 ohm-cm;15 %;160 GPa;200 GPa;80.0 GPa;0.29;1034 MPa;1200 MPa
96.595 - 97.72 %;0.38 - 0.43 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.75 - 1.0 %;0.40 - 0.60 %;0.40 - 0.70 %;0.20 - 0.30 %;0%;7.85 g/cc;284;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;16 %;160 GPa;205 GPa;80.0 GPa;0.29;550 MPa;930 MPa
95.855 - 96.98 %;0.17 - 0.22 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.45 - 0.65 %;0.40 - 0.60 %;1.65 - 2.0 %;0.20 - 0.30 %;0%;7.85 g/cc;247;44.5 W/m-K;0.475 J/g-°C;11.3 µm/m-°C @Temperature -18.0 - 95.0 °C;0.0000245 ohm-cm;NA;160 GPa;205 GPa;80.0 GPa;0.29;NA;NA
95.855 - 96.98 %;0.17 - 0.22 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.45 - 0.65 %;0.40 - 0.60 %;1.65 - 2.0 %;0.20 - 0.30 %;0%;7.85 g/cc;440;44.5 W/m-K;0.475 J/g-°C;11.3 µm/m-°C @Temperature -18.0 - 95.0 °C;0.0000245 ohm-cm;12.5 %;160 GPa;205 GPa;80.0 GPa;0.29;1095 MPa;1490 MPa
0%;<= 0.0800 %;0%;0.30 %;0%;2.4 %;12 %;64 %;0%;0%;NA;NA;NA;NA;NA;NA;14 %;NA;NA;NA;NA;524 MPa @Strain 0.200 %;648 MPa
96.692 - 98.0795 %;0.27 - 0.33 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.65 - 0.95 %;0.35 - 0.65 %;0.35 - 0.75 %;0.15 - 0.25 %;0%;7.85 g/cc;196;46.6 W/m-K;0.475 J/g-°C;11.2 µm/m-°C @Temperature 21.0 - 100 °C;0.0000234 ohm-cm;23.5 %;160 GPa;205 GPa;80.0 GPa;0.29;425 MPa;650 MPa
9.0 %;0.030 %;<= 0.0150 %;0.40 %;<= 0.0200 %;2.0 %;30 %;>= 50.0 %;<= 0.300 %;<= 0.200 %;NA;NA;NA;NA;NA;NA;39 % @Temperature 360 C;NA;NA;NA;NA;330 MPa @Temperature 360 C;520 MPa @Temperature 360 C
>= 96.7 %;<= 0.33 %;<= 0.0080 %;0.30 %;<= 0.0080 %;0.80 %;1.0 %;0.25 %;<= 0.060 %;<= 0.35 %;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
95.855 - 96.98 %;0.17 - 0.22 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.45 - 0.65 %;0.40 - 0.60 %;1.65 - 2.0 %;0.20 - 0.30 %;0%;7.85 g/cc;350;44.5 W/m-K;0.475 J/g-°C;11.3 µm/m-°C @Temperature -18.0 - 95.0 °C;0.0000245 ohm-cm;16 %;160 GPa;205 GPa;80.0 GPa;0.29;896 MPa;1080 MPa
95.775 %;0.95 - 1.1 %;<= 0.025 %;0.15 - 0.35 %;<= 0.025 %;0.65 - 0.90 %;1.1 - 1.5 %;0.25 %;0.20 - 0.30 %;0.35 %;7.80 g/cc;NA;52.0 W/m-K;0.470 J/g-°C;12.0 µm/m-°C;0.0000170 ohm-cm;NA;160 GPa;200 GPa;80.0 GPa;0.29;NA;NA
96.695 - 98.08 %;0.27 - 0.33 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.65 - 0.95 %;0.35 - 0.65 %;0.35 - 0.75 %;0.15 - 0.25 %;0%;7.85 g/cc;284;46.6 W/m-K;0.475 J/g-°C;11.2 µm/m-°C @Temperature 21.0 - 100 °C;0.0000234 ohm-cm;19.2 %;160 GPa;205 GPa;80.0 GPa;0.29;738 MPa;895 MPa
95.77 %;0.15 %;0.025 %;0.50 %;0.025 %;0.30 - 0.60 %;2.0 - 2.5 %;0.40 %;0%;0.40 %;7.80 g/cc;NA;52.0 W/m-K;0.470 J/g-°C;12.0 µm/m-°C;0.0000170 ohm-cm;18 %;160 GPa;200 GPa;80.0 GPa;0.29;415 MPa;585 - 760 MPa
95.468 %;0.10 - 0.15 %;0.025 %;0.13 %;0.025 %;0.30 - 0.60 %;2.75 - 3.25 %;0.25 %;0%;0.25 %;7.80 g/cc;NA;52.0 W/m-K;0.470 J/g-°C;12.0 µm/m-°C;0.0000170 ohm-cm;13 %;160 GPa;200 GPa;80.0 GPa;0.29;690 MPa;795 - 930 MPa
95.745 - 97.18 %;0.17 - 0.23 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.40 - 0.70 %;0.35 - 0.65 %;1.55 - 2.0 %;0.20 - 0.30 %;0%;7.85 g/cc;319;44.5 W/m-K;0.475 J/g-°C;11.3 µm/m-°C @Temperature -18.0 - 95.0 °C;0.0000245 ohm-cm;19.5 %;160 GPa;205 GPa;80.0 GPa;0.29;670 MPa;1050 MPa
