Iron, Fe;Carbon, C;Sulfur, S;Silicon, Si;Phosphorous, P;Manganese, Mn;Chromium, Cr;Nickel, Ni;Molybdenum, Mo;Copper, Cu;Density;Hardness, Vickers;Thermal Conductivity;Specific Heat Capacity;CTE, linear;Electrical Resistivity;Elongation at Break;Bulk Modulus;Modulus of Elasticity;Shear Modulus;Poissons Ratio;Tensile Strength, Yield;Tensile Strength, Ultimate
97.35;0.2;0.05;0.22499999999999998;0.04;1.0;0.55;0.375;0.0;0.30000000000000004;7.75;NA;NA;NA;NA;NA;21.0;NA;205.0;80.0;0.28;290.0;NA
97.105;0.505;0.045;0.22499999999999998;0.035;0.875;0.5;0.55;0.2;0.0;7.85;384.0;46.6;0.475;NA;2.34e-05;14.6;160.0;205.0;80.0;0.29;1165.0;1225.0
96.6;0.2;0.03;0.325;0.04;1.15;0.25;0.25;0.08;0.35;7.8;NA;NA;NA;NA;NA;18.0;NA;205.0;80.0;0.28;345.0;NA
94.0;0.11;0.013;0.25;0.013;0.55;1.2;3.3;0.12;0.0;7.86;349.0;NA;NA;NA;NA;15.0;NA;NA;NA;NA;897.0;966.0
94.29;0.23;0.04;0.30000000000000004;0.035;0.4;1.75;2.925;0.0;0.0;7.8;NA;52.0;0.47;12.0;1.7e-05;16.0;160.0;200.0;80.0;0.29;485.0;757.5
96.4625;0.2;0.04;0.22499999999999998;0.035;0.55;0.5;1.775;0.25;0.0;7.85;440.0;44.5;0.475;11.3;2.45e-05;11.8;160.0;205.0;80.0;0.29;1125.0;1460.0
97.38749999999999;0.30000000000000004;0.04;0.22499999999999998;0.035;0.8;0.5;0.55;0.2;0.0;7.85;196.0;46.6;0.475;11.2;2.34e-05;26.2;160.0;205.0;80.0;0.29;425.0;640.0
97.105;0.505;0.045;0.22499999999999998;0.035;0.875;0.5;0.55;0.2;0.0;7.85;339.0;46.6;0.475;NA;2.34e-05;17.8;160.0;205.0;80.0;0.29;1040.0;1060.0
95.45;0.345;0.04;0.275;0.035;0.7;0.775;1.825;0.35;0.0;7.87;NA;NA;NA;NA;NA;NA;NA;205.0;80.0;0.28;NA;NA
96.4175;0.195;0.04;0.22499999999999998;0.035;0.55;0.5;1.825;0.25;0.0;7.85;372.0;44.5;0.475;11.3;2.45e-05;16.0;160.0;205.0;80.0;0.29;1015.0;1180.0
97.08;0.505;0.045;0.25;0.035;0.875;0.5;0.55;0.2;0.0;7.85;223.0;46.6;0.475;NA;2.34e-05;22.5;160.0;205.0;80.0;0.29;1076.0;1255.0
95.76249999999999;0.4;0.04;0.22499999999999998;0.035;0.7;0.8;1.825;0.25;0.0;7.85;411.0;44.5;0.475;12.3;2.48e-05;12.1;159.0;200.0;78.0;0.29;972.0;1448.0
96.35;0.7;0.0;0.25;0.0;0.6;0.7;1.4;0.0;0.0;7.86;NA;34.6;NA;11.81;NA;NA;NA;207.0;NA;NA;NA;NA
97.0;0.32;0.005;0.35;0.025;0.4;1.2;0.35;0.3;0.0;NA;NA;NA;NA;NA;NA;14.0;NA;NA;NA;NA;1400.0;NA
97.44;0.27;0.045;0.22499999999999998;0.035;0.7749999999999999;0.5;0.55;0.2;0.0;7.85;211.0;46.6;0.475;NA;2.34e-05;NA;160.0;205.0;80.0;0.29;NA;NA
96.93;0.18;0.04;0.22499999999999998;0.04;0.7749999999999999;0.44999999999999996;1.05;0.35;0.0;7.85;339.0;44.5;0.475;NA;2.45e-05;17.8;160.0;205.0;80.0;0.29;714.0;1068.0
96.85;0.185;0.04;0.275;0.04;0.8;0.45;1.05;0.35;0.0;7.85;361.0;44.5;0.475;NA;2.45e-05;9.6;160.0;205.0;80.0;0.29;735.0;1131.0
0.0;0.01;0.025;0.08;0.04;1.5;28.5;10.0;0.0;0.0;NA;220.0;NA;NA;NA;NA;25.0;NA;NA;NA;NA;600.0;720.0
96.67;0.12;0.015;0.4;0.035;0.6;1.05;1.05;0.0;0.0;7.8;NA;52.0;0.47;12.0;1.7e-05;20.0;160.0;200.0;80.0;0.29;450.0;600.0
0.0;0.02;0.011;0.3;0.02;1.4;19.5;10.0;0.0;0.06;NA;160.0;NA;NA;NA;NA;33.0;NA;NA;NA;NA;250.0;360.0
97.4575;0.20500000000000002;0.04;0.25;0.035;0.8;0.5;0.55;0.2;0.0;7.85;155.0;46.6;0.475;NA;2.34e-05;31.3;160.0;205.0;80.0;0.29;385.0;540.0
97.4575;0.20500000000000002;0.04;0.25;0.035;0.8;0.5;0.55;0.2;0.0;7.85;247.0;46.6;0.475;NA;2.34e-05;NA;160.0;205.0;80.0;0.29;NA;NA
97.4825;0.20500000000000002;0.04;0.25;0.035;0.7749999999999999;0.5;0.55;0.2;0.0;7.85;276.0;46.6;0.475;NA;2.34e-05;22.5;160.0;205.0;80.0;0.29;533.0;898.0
97.4575;0.20500000000000002;0.04;0.25;0.035;0.8;0.5;0.55;0.2;0.0;7.85;661.0;46.6;0.475;NA;2.34e-05;12.8;160.0;205.0;80.0;0.29;926.0;1250.0
93.6;0.2;0.05;0.9;0.0;1.5;0.9;1.25;0.25;1.0;7.75;NA;NA;NA;NA;NA;16.0;NA;205.0;80.0;0.28;414.0;NA
96.13499999999999;0.24000000000000002;0.025;0.25;0.025;0.9;1.425;0.55;0.25;0.22499999999999998;NA;NA;NA;NA;NA;NA;17.4;NA;NA;NA;NA;1320.0;NA
0.0;0.02;0.01;0.02;0.015;1.7;27.0;31.0;3.5;1.0;7.9;160.0;11.0;NA;17.0;NA;35.0;NA;NA;NA;NA;360.0;540.0
96.4625;0.2;0.04;0.22499999999999998;0.035;0.55;0.5;1.775;0.25;0.0;7.85;350.0;44.5;0.475;11.3;2.45e-05;16.0;160.0;205.0;80.0;0.29;896.0;1080.0
94.50999999999999;0.1;0.05;0.22499999999999998;0.0;0.55;1.225;3.25;0.11499999999999999;0.0;7.85;384.0;51.9;0.472;11.5;1.74e-05;15.0;160.0;200.0;80.0;0.29;1010.0;1227.0
